step,train_loss,train_acc,val_loss,val_ppl,val_acc,grad_norm,seconds
3000,0.2838,0.7397,0.2328,1.2621,0.7878,1.210,692.7
6000,0.2491,0.7646,0.2216,1.2481,0.8050,0.896,1387.5
9000,0.2301,0.7920,0.2008,1.2224,0.8133,1.859,2086.8
12000,0.2136,0.8075,0.1822,1.1999,0.8300,2.197,2845.1
15000,0.2031,0.8179,0.1771,1.1938,0.8428,3.105,3866.7
epoch1,0.2316,0.7889,0.1907,1.2101,0.8319,,4563.9
3000,0.1872,0.8348,0.1719,1.1876,0.8461,0.987,5475.4
6000,0.1819,0.8400,0.1631,1.1772,0.8522,1.623,6831.5
9000,0.1799,0.8427,0.1635,1.1776,0.8556,0.908,7702.4
12000,0.1750,0.8474,0.1578,1.1709,0.8633,1.547,8487.1
15000,0.1718,0.8496,0.1523,1.1645,0.8622,1.200,9249.4
epoch2,0.1784,0.8435,0.1695,1.1847,0.8519,,9978.6
3000,0.1552,0.8652,0.1572,1.1702,0.8650,0.997,10725.2
6000,0.1557,0.8655,0.1509,1.1629,0.8689,1.874,11939.4
9000,0.1545,0.8659,0.1522,1.1644,0.8689,1.262,12699.6
12000,0.1507,0.8702,0.1521,1.1642,0.8783,1.256,13757.9
15000,0.1537,0.8668,0.1496,1.1614,0.8661,1.710,14530.5
epoch3,0.1537,0.8670,0.1630,1.1630,0.8605,,15441.9
3000,0.1287,0.8901,0.1675,1.1823,0.8744,2.770,16188.2
6000,0.1298,0.8892,0.1539,1.1664,0.8811,1.892,17250.6
9000,0.1304,0.8897,0.1513,1.1633,0.8794,2.359,18006.3
12000,0.1295,0.8891,0.1608,1.1744,0.8772,1.215,19278.4
15000,0.1291,0.8901,0.1466,1.1579,0.8789,0.621,20078.1
epoch4,0.1293,0.8898,0.1643,1.1786,0.8646,,20859.0
